device: cuda:0
AX-MADDPG
=============================
=1 Env resilient path planning is right ...
=============================
=2 The 24 agents are inited ...
=============================
=3 starting iterations ...
=============================
=4 init tensorboards ...
=================================
[2025-07-03 15:39:42.443] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.5013212561607361, rew_n_avg_satisfaction: 4.0529891975893406e-07, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:39:50.898] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4048835039138794, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:39:58.386] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.3673926293849945, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:40:04.799] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.3224247395992279, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:40:11.169] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.35936489701271057, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 4.069010017815344e-08
[2025-07-03 15:40:17.553] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.41740021109580994, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:40:18.761] =============> episode_gone: 1, rew_n: 1015.1193408966064, rew_n_avg_queue_delta: 0.3531476557254791, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:40:23.668] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.45520392060279846, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:40:29.907] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.3109315037727356, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:40:36.464] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4247044622898102, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:40:42.675] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.32512351870536804, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:40:48.918] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.3557460308074951, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:40:55.455] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.3990423381328583, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:40:58.194] =============> episode_gone: 1, rew_n: 1002.4627113342285, rew_n_avg_queue_delta: 0.3666250705718994, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:41:02.326] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4644209146499634, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:41:08.535] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4119758605957031, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:41:15.244] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.37438929080963135, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:41:21.411] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4672684967517853, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:41:27.603] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.387821763753891, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:41:33.818] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4147012233734131, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:41:38.158] =============> episode_gone: 1, rew_n: 1046.462640762329, rew_n_avg_queue_delta: 0.4381333887577057, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:41:40.474] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4769972860813141, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:41:48.519] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.46135982871055603, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 4.069010461904554e-09
[2025-07-03 15:41:54.773] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.35909947752952576, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:42:00.983] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4468620717525482, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:42:07.293] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.3645436763763428, rew_n_avg_satisfaction: 1.5108678752540072e-08, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:42:13.399] episode_gone: 1, rew_n: 0.0, rew_n_avg_queue_delta: 0.4959704577922821, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:42:19.183] =============> episode_gone: 1, rew_n: 1047.3860168457031, rew_n_avg_queue_delta: 0.41330257058143616, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:42:19.587] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.7949815392494202, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:42:25.875] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.5099964737892151, rew_n_avg_satisfaction: 4.0529891975893406e-07, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:42:33.802] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.428284615278244, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:42:41.038] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.395900696516037, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:42:47.127] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.4026137888431549, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:42:53.246] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.31904008984565735, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:42:59.723] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.3938438594341278, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:43:00.917] =============> episode_gone: 2, rew_n: 1044.5337219238281, rew_n_avg_queue_delta: 0.4053622782230377, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:43:05.948] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.46810874342918396, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:43:12.900] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.3913278579711914, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.662109193669494e-08
[2025-07-03 15:43:18.728] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.40038180351257324, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:43:24.566] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.3905470371246338, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:43:31.686] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.2994288206100464, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:43:38.026] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.41024425625801086, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.662109193669494e-08
[2025-07-03 15:43:40.767] =============> episode_gone: 2, rew_n: 1035.0763149261475, rew_n_avg_queue_delta: 0.42181214690208435, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:43:45.165] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.37831807136535645, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:43:53.158] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.4214805066585541, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.662109193669494e-08
[2025-07-03 15:44:01.971] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.3912876546382904, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 4.069010461904554e-09
[2025-07-03 15:44:10.081] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.37490370869636536, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:44:19.244] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.4197309911251068, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:44:27.609] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.40412434935569763, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:44:33.299] =============> episode_gone: 2, rew_n: 1010.9329967498779, rew_n_avg_queue_delta: 0.41017481684684753, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:44:35.457] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.5552822947502136, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:44:43.255] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.46175289154052734, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:44:52.187] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.40472912788391113, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:45:00.866] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.4790203273296356, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:45:09.690] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.3901500999927521, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 4.069010017815344e-08
[2025-07-03 15:45:18.542] episode_gone: 2, rew_n: 0.0, rew_n_avg_queue_delta: 0.49690935015678406, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
